8.2,10.4,10.5,12.3,1.6,10.4,7.3,7.9,11.4,7.3,10.4,2.2,0
2.6,5.7,8,14.2,12.6,5.6,12.2,3.5,12,13.6,9.8,0.2,0
14.5,8,11.4,9,0.9,11,14.6,3.3,10.4,4.1,12.6,0.2,0
2.8,9.6,14.4,9.5,11,13,3.7,9.3,9.8,2.6,13.6,0.6,0
3.3,11.9,12.2,17.6,5.4,11.1,0,6.2,1.7,11.6,9.7,9.4,0
8.4,4.5,4.7,10.7,8.1,13.7,10.7,10.3,5.2,2.6,9.8,11.4,0
7.2,15.1,11.8,13.4,1.2,9.1,8.6,11.5,5.3,3.8,10.2,2.8,0
8,0.7,6.7,11.4,9.2,15,7.8,5.2,13.3,15.9,0.6,6.1,0
8.5,1.4,11.1,11.5,7.3,14.6,9,8.2,1,6.9,12.1,8.2,0
16.5,9.1,5.7,12.3,16.1,4.2,0.5,13.9,4.6,12.7,3,1.4,0
5.6,9.3,0.4,13.5,7.9,10.7,17,5.3,1.9,12.5,12.4,3.7,0
13.6,7.3,2.9,6.6,13.3,11.2,12.7,11.6,6.1,13.1,0.4,1,0
8,14.1,13.1,10.2,4.9,11.9,7.2,11.7,7,3.4,3.5,4.8,0
3.8,7.1,4.7,11.1,4.1,14.2,11.1,4.6,10.6,4.1,13.4,11.2,0
18.6,3.9,12.2,1.8,1.6,15.8,2.9,3.8,16.4,10.1,11.2,1.7,0
7.2,6.6,14,10.7,7.1,9.9,13.2,6.6,5,1.8,14,3.8,0
0.5727,3.1123,9.7972,13.1634,13.1652,19.0038,1.3805,6.895,15.8051,1.086,15.4855,0.5314,0
0,0,18.0435,7.5831,10.5649,19.8628,0,0,23.5489,0,20.8968,0,0
0.4,11,15.1,14.6,2.7,18.1,7.3,0.5,11.4,10.1,1.4,7.3,0
14.7,9.3,4.7,13.6,6.4,6.6,12.4,7.9,2.1,7.3,13.6,1.5,0
9.1,3.6,11.6,13.1,5,11.5,2.6,10.5,10.8,10,6.2,6,0
12.1,8.9,4.6,5.7,9.5,12.7,10.2,12.4,5,8.4,3.4,7.1,0
2.8,6.1,6.9,5.2,6.2,12.6,2.7,13.5,12.9,10.9,14.7,5.6,0
2.9,1.8,11.6,15.5,18.3,6.7,3.6,11.6,5,3.3,17.6,2.1,0
2.4,10.3,5.8,10.2,10.9,13.7,9.4,12.1,0.1,15.8,4.5,4.9,0
4.1,1.3,17.9,0.6,8.7,20.6,3.6,9.3,18.8,3.7,10.2,1.3,0
9.4,8.9,9.2,11.2,4.6,11.5,2.8,7.3,12.5,12,4.8,6,0
0.5,6.6,3.1,11.2,0.8,14.4,14.4,10.9,5.2,12.7,13.2,7.2,0
6.7,12.2,4.6,11.7,0.9,6.8,6.4,14,11,9.8,12.6,3.2,0
7.9,4.1,0.5,16.5,11.2,5.4,8.2,16.9,4.9,6.3,11.1,7,0
3.1,8,10.7,5.8,3.4,10.8,14.4,15.9,5.9,5.7,15,1.2,0
17.9,4.2,6.9,1.6,6.1,8.7,7.7,11.6,10.7,9.3,12.9,2.3,0
1.6,9.2,13.3,8.8,7.8,12.3,2.9,4,12.9,12.1,10.9,4.3,0
7.5,5.8,3.6,18.8,2.4,14.4,16.8,7.5,3.5,4,3,12.7,0
10.9,13.7,0.4,7.9,12.2,10.6,7.1,4.2,15.2,8.9,5,3.9,0
9.7,4.7,10.6,14.5,4.9,5.4,5.2,9.1,8.7,14.3,11.2,1.6,0
16.7,4.1,7.6,10.5,12,13.9,6.9,3.1,12.1,7.1,0.4,5.6,0
13.4,11.8,2.8,4.9,5.9,12.4,6.5,1.2,12.4,13,14.1,1.7,0
18.1,7.4,3.5,0.3,0.5,12.1,18.9,13.5,3.4,15.3,1.6,5.6,0
9.8,10.3,8.4,7.2,11.1,8.3,2.9,11.6,4.8,11,8.4,6.3,0
10.5,15.4,13.6,13.8,5.7,13.5,1.1,5.8,3.9,0.2,2.5,14.1,0
11.6,8.1,7.3,10.8,7.9,10.8,11.7,8.3,4,8.3,9.6,1.7,0
5.6,10.2,0.4,10.9,5.7,9.5,8.8,12.1,5,12.8,12.8,6.2,0
4.1,13.8,4.2,11.6,4,13,7.7,5.7,7.1,13.5,5.8,9.5,0
10.8,1.4,9.9,12.4,1.2,13,11.2,9.6,11.6,8.3,1.7,8.7,0
0.4,10,1,16.8,9.8,13,1.5,13.3,4.3,9.2,8.4,12.3,0
0,0,0,0,0,0,0,100,0,0,0,0,0
11.6,1.3,7.8,8.8,5.9,11.6,16.1,13.2,15.7,4.4,0.8,2.9,0
1.1,11.9,10.3,11.5,1.2,9,8.6,13.2,5.6,12.8,8.9,5.9,0
8.9,3,9.8,7.7,12.5,10.9,5.9,4.1,9,14.4,11.4,2.4,0
3.7,16.6,14.1,1.7,16,14.7,1.5,0.6,11.9,1.9,14.4,2.9,0
4.3,8.1,2.7,5.8,11.2,12.6,12.9,9.9,5.8,10.4,11.5,4.9,0
5.1,14.7,7.2,7.5,8.8,14.8,5.6,4.4,8.2,13.3,0,10.3,0
10,11,1.8,10.5,6.1,12.7,10.5,4.8,10.3,12.9,5.8,3.5,0
11.9,7,1.6,7.9,15.4,6,1.2,17.3,12.5,12.8,2.9,3.4,0
2.5,1.4,6.7,16.2,6.6,9.3,8.9,8.5,16.2,7.7,5.9,10.1,0
13.9,3.3,16,6.9,20.8,2.6,5.5,19.2,2.5,0.9,5,3.4,0
8.2,12,7.6,8.8,7.6,7.9,9.5,6.7,8.5,12.6,8.9,1.9,0
11.9,6.6,21.6,15.3,3.6,4.4,0.6,7.4,7.6,9.2,9.6,2.1,0
12,1.7,3,6.3,13.2,14,0.6,11.8,14.1,10.5,2.2,10.7,0
5.4,11.9,9,4,1.7,17.1,16.5,6.2,5.7,15.3,3.4,3.8,0
7.3307,3.636,8.7036,8.6154,11.4159,22.1754,4.0311,3.0663,4.8907,6.3198,13.7234,5.9759,0
11,1,5.2,6.2,6.4,13.6,7.9,8.4,6,11,13.3,10,0
7.7,12,1,12.3,9.1,13.9,7.1,10.7,7.4,0.4,7.2,11.2,0
9.8,15.3,0.9,6.7,9.9,13.2,11.5,5.4,2.6,14.2,6.1,4.4,0
2.8,9.1,14.9,6.6,13.8,13.2,8.3,11.7,2.9,2.9,7.7,6.1,0
4.9,6.4,6.2,8.4,11.4,11.1,9,10,11.2,4.1,10.1,7.1,0
4.6,11.8,2.3,9.8,12.2,11.5,11.8,5.2,8.2,0.9,12.1,9.7,0
