0,100,0,0,0,0,0,0,0,0,0,0,0.8,0.624
0,0,100,0,0,0,0,0,0,0,0,0,0.551,0.438
0,0,0,100,0,0,0,0,0,0,0,0,0.014,0.025
0,0,0,0,100,0,0,0,0,0,0,0,0.004,0.005
0,0,0,0,0,0,100,0,0,0,0,0,0.947,0.641
0,0,0,0,0,0,0,100,0,0,0,0,0.011,0.021
0,0,0,0,0,0,0,0,100,0,0,0,0.335,0.278
0,0,0,0,0,0,0,0,0,100,0,0,0.324,0.37
0,0,0,0,0,0,0,0,0,0,100,0,1.004,0.913
0,0,0,0,0,0,0,0,0,0,0,100,0.005,0.004
14,4,1,2,17,25,7,10,11,3,2,4,0.09,0.074
1,4,20,14,19,2,2,16,5,0,13,4,0.071,0.106
6,0,1,16,4,29,0,5,17,2,5,15,0.101,0.071
8,10,9,8,5,16,5,0,0,11,6,22,0.285,0.325
14,2,7,10,0,6,3,1,33,9,0,15,0.259,0.246
2,16,0,4,17,21,5,22,2,0,8,3,0.025,0.029
3,3,15,1,1,16,13,1,3,9,35,0,0.086,0.124
0,4,8,33,1,11,1,2,0,10,21,9,0.02,0.035
3,8,0,11,1,6,17,26,3,4,15,6,0.032,0.068
16,0,31,1,0,4,0,25,8,1,10,4,0.13,0.16
0,5,1,6,40,6,6,12,1,7,10,6,0.071,0.172
13,5,0,46,1,6,0,0,4,2,2,21,0.026,0.054
7,12,1,1,13,6,0,5,4,7,32,12,0.426,0.477
2,1,4,0,2,59,9,4,9,2,8,0,0.46,0.484
8,3,2,3,1,2,7,6,31,10,6,21,0.792,0.689
2,11,14,13,0,1,3,5,1,27,13,10,0.249,0.304
18,6,1,7,17,3,12,1,2,4,14,15,0.753,0.659
2,4,4,2,6,8,2,13,16,12,1,30,0.719,0.67
6,6,3,4,15,17,0,14,8,1,6,20,0.053,0.137
12,1,13,3,6,2,19,0,1,24,4,15,0.936,0.682
12,5,1,17,0,24,8,12,0,5,3,13,0.033,0.024
5,16,12,0,10,0,1,12,9,6,25,4,0.503,0.483
10,15,19,7,8,19,0,3,0,10,9,0,0.373,0.127
8,14,21,11,14,2,8,0,0,19,2,1,0.222,0.229
0,10,6,14,0,17,12,13,0,2,9,17,0.022,0.041
0,6,14,19,8,1,6,8,4,8,2,24,0.351,0.338
33,15,0,13,4,2,18,4,1,0,7,3,0.27,0.325
2,12,1,4,1,37,11,11,0,18,0,3,0.003,0.01
9,2,5,3,39,2,0,0,10,23,3,4,0.628,0.58
13,38,0,2,11,10,0,9,1,12,1,3,0.04,0.095
11,1,6,0,11,2,8,9,5,3,5,39,3.128,2.855
8,28,8,1,0,1,7,18,14,7,4,4,0.256,0.222
5,0,10,2,1,15,2,0,42,0,6,17,0.361,0.268
2,29,2,10,7,0,15,11,1,12,8,3,0.2,0.215
5,31,6,17,1,5,5,5,4,0,13,8,0.089,0.137
2,19,7,28,0,2,2,2,12,12,12,2,0.066,0.101
8,3,7,0,36,7,0,0,16,11,4,8,1.164,0.881
1,15,12,3,10,11,7,27,3,3,3,5,0.039,0.074
1,8,3,31,1,14,4,0,3,0,11,24,0.022,0.05
21,0,3,24,10,3,5,9,1,8,0,16,0.082,0.131
0,7,16,3,5,20,0,12,25,4,5,3,0.031,0.042
2,27,15,9,7,4,18,1,10,3,4,0,0.161,0.157
11,19,27,6,3,5,7,0,9,0,5,8,0.345,0.363
1,6,15,4,18,8,6,3,3,9,22,5,0.265,0.278
8,6,7,4,28,8,7,6,7,2,8,9,0.596,0.55
0,13,7,2,1,7,9,5,11,26,12,7,0.212,0.271
18,6,3,0,10,26,6,4,6,6,0,15,0.05,0.044
