17,3,4,0,2,15,9,8,6,26,7,3,0.123,0.074,0.042
11,6,4,4,3,24,14,4,1,6,12,11,0.149,0.088,0.052
0,27,7,10,1,17,1,3,7,9,2,16,0.148,0.083,0.049
12,0,12,0,24,1,10,1,16,3,6,15,0.76,0.92,0.06
8,7,1,2,2,7,4,15,9,0,38,7,0.147,0.11,0.028
5,0,16,0,1,3,0,1,5,38,26,5,0.515,0.277,0.087
2,0,7,0,3,8,24,3,46,1,0,6,0.278,0.129,0.01
43,7,6,0,18,8,2,0,4,4,3,5,0.507,0.375,0.062
8,17,5,1,13,3,15,0,3,1,16,18,0.759,0.837,0.062
5,0,42,10,6,0,0,3,1,0,11,22,0.524,0.472,0.066
20,12,6,10,1,1,7,6,5,1,3,28,0.995,0.966,0.085
6,5,2,6,7,17,16,5,6,5,12,13,0.198,0.116,0.061
0,1,2,1,1,2,4,24,46,3,3,13,0.174,0.154,0.023
7,7,17,10,8,12,21,5,3,2,5,3,0.367,0.152,0.078
0,3,8,14,5,23,7,4,1,16,13,6,0.158,0.03,0.011
4,13,0,10,2,1,2,29,12,1,0,26,0.726,0.483,0.083
20,0,6,1,3,19,2,8,2,14,20,5,0.135,0.069,0.047
0,0,1,11,5,7,5,6,15,1,35,14,0.213,0.139,0.06
0,6,9,0,5,1,11,12,11,38,7,0,0.175,0.124,0.053
27,2,1,9,21,0,9,2,11,7,10,1,0.232,0.175,0.061
14,16,11,6,9,3,2,10,13,5,9,2,0.118,0.09,0.022
7,19,6,18,19,6,0,7,0,8,0,10,0.427,0.166,0.08
3,17,4,20,1,5,6,0,2,14,16,12,0.289,0.102,0.024
5,2,1,34,19,9,0,0,1,16,10,3,0.142,0.066,0.05
7,13,8,7,5,3,3,11,29,10,3,1,0.141,0.083,0.044
25,4,7,1,9,5,1,31,0,2,0,15,0.238,0.133,0.061
6,17,4,4,3,9,32,1,4,12,8,0,0.155,0.096,0.046
14,7,7,13,11,9,2,0,0,25,3,9,0.143,0.091,0.052
4,33,4,7,5,0,18,6,5,7,7,4,0.232,0.178,0.029
100,0,0,0,0,0,0,0,0,0,0,0,1.525,2.013,0.138
0,100,0,0,0,0,0,0,0,0,0,0,0.66,0.836,0.036
0,0,100,0,0,0,0,0,0,0,0,0,0.483,0.596,0.045
0,0,0,100,0,0,0,0,0,0,0,0,0.068,0.057,0.043
0,0,0,0,100,0,0,0,0,0,0,0,0.045,0.044,0.04
0,0,0,0,0,100,0,0,0,0,0,0,( + ),( + ),2.047
0,0,0,0,0,0,100,0,0,0,0,0,0.695,1.001,0.054
0,0,0,0,0,0,0,100,0,0,0,0,0.05,0.04,0.029
0,0,0,0,0,0,0,0,100,0,0,0,0.35,0.407,0.072
0,0,0,0,0,0,0,0,0,100,0,0,0.376,0.33,0.006
0,0,0,0,0,0,0,0,0,0,100,0,0.977,1.068,0.064
0,0,0,0,0,0,0,0,0,0,0,100,0.041,0.042,0.037
14,4,1,2,17,25,7,10,11,3,2,4,0.141,0.157,0.067
1,4,20,14,19,2,2,16,5,0,13,4,0.153,0.118,0.047
6,0,1,16,4,29,0,5,17,2,5,15,0.137,0.167,0.066
8,10,9,8,5,16,5,0,0,11,6,22,0.37,0.33,0.045
14,2,7,10,0,6,3,1,33,9,0,15,0.319,0.332,0.073
2,16,0,4,17,21,5,22,2,0,8,3,0.036,0.032,0.007
3,3,15,1,1,16,13,1,3,9,35,0,0.164,0.126,0.04
0,4,8,33,1,11,1,2,0,10,21,9,0.076,0.061,0.041
3,8,0,11,1,6,17,26,3,4,15,6,0.118,0.082,0.05
16,0,31,1,0,4,0,25,8,1,10,4,0.209,0.179,0.049
0,5,1,6,40,6,6,12,1,7,10,6,0.231,0.13,0.059
13,5,0,46,1,6,0,0,4,2,2,21,0.088,0.06,0.034
7,12,1,1,13,6,0,5,4,7,32,12,0.565,0.514,0.088
2,1,4,0,2,59,9,4,9,2,8,0,2.026,2.002,1.542
8,3,2,3,1,2,7,6,31,10,6,21,0.746,0.849,0.057
2,11,14,13,0,1,3,5,1,27,13,10,0.355,0.3,0.051
18,6,1,7,17,3,12,1,2,4,14,15,0.724,0.818,0.065
2,4,4,2,6,8,2,13,16,12,1,30,0.739,0.788,0.069
6,6,3,4,15,17,0,14,8,1,6,20,0.201,0.117,0.064
12,1,13,3,6,2,19,0,1,24,4,15,0.724,0.978,0.042
12,5,1,17,0,24,8,12,0,5,3,13,0.1,0.109,0.076
5,16,12,0,10,0,1,12,9,6,25,4,0.496,0.516,0.013
10,15,19,7,8,19,0,3,0,10,9,0,0.172,0.418,0.045
8,14,21,11,14,2,8,0,0,19,2,1,0.276,0.269,0.047
