38,2,2,5,23,24,1,5,0.332,0.366
23,2,5,4,23,28,15,0,0.18,0.169
22,1,28,7,23,1,4,15,1.289,1.283
8,3,41,8,23,1,2,14,1.066,1.243
3,13,44,1,23,7,2,7,0.42,0.917
2,36,6,9,23,8,13,3,0.183,0.17
17,3,15,15,23,4,16,7,0.318,0.423
2,19,7,9,22,28,3,10,0.158,0.136
15,5,7,8,22,31,8,4,0.179,0.121
2,8,15,22,22,29,2,0,0.103,0.091
0,0,38,0,22,0,13,27,1.279,1.691
2,6,17,7,22,20,24,2,0.162,0.117
4,0,21,11,22,5,21,16,0.473,0.601
7,7,31,8,22,18,7,0,0.228,0.234
10,2,19,6,22,12,27,2,0.167,0.209
18,17,18,9,22,12,4,0,0.183,0.348
19,3,10,31,22,3,10,2,0.17,0.257
78,0,0,0,22,0,0,0,0.299,0.362
0,23,55,0,22,0,0,0,0.393,0.494
25,8,0,1,21,22,6,17,0.559,0.913
3,16,21,15,21,0,5,19,0.994,1.061
31,3,2,8,21,7,20,9,0.182,0.204
31,3,2,8,21,7,20,9,0.169,0.209
43,1,4,15,21,4,7,5,0.324,0.474
0,1,60,1,21,5,11,1,0.51,0.456
23,15,11,15,21,4,10,1,0.241,0.29
35,8,24,8,21,2,2,1,0.252,0.344
35,8,24,8,21,2,2,1,0.242,0.374
11,13,21,20,21,2,12,0,0.186,0.403
0,0,79,0,21,0,0,0,0.685,0.665
0,0,79,0,21,0,0,0,0.492,0.603
13,1,5,13,20,25,11,12,0.183,0.248
0,0,0,33,20,0,13,34,1.001,1.389
2,23,7,12,20,24,8,4,0.111,0.093
1,3,12,11,20,25,28,0,0.085,0.092
2,26,2,1,20,22,25,2,0.08,0.059
2,11,8,6,20,13,32,8,0.116,0.115
13,11,16,19,20,3,0,18,1.011,1.054
10,1,26,9,20,16,18,0,0.279,0.205
21,10,7,17,20,11,11,3,0.166,0.156
24,38,5,4,20,1,7,2,0.239,0.208
24,38,5,4,20,1,7,2,0.176,0.195
14,14,20,10,20,1,20,1,0.17,0.322
3,3,16,9,19,1,12,37,2.206,2.843
20,12,2,6,19,24,4,13,0.281,0.309
3,2,7,27,19,4,5,33,1.404,2.143
9,11,18,5,19,0,5,33,1.631,2.052
5,9,20,18,19,19,7,3,0.133,0.129
7,7,19,0,19,12,27,9,0.167,0.158
0,26,26,3,19,6,13,7,0.328,0.314
28,1,2,24,19,9,13,4,0.144,0.153
4,2,28,2,19,8,35,2,0.181,0.16
10,16,18,0,19,5,27,5,0.197,0.19
7,23,0,12,19,8,30,1,0.11,0.087
13,14,38,3,19,0,4,9,0.668,0.926
2,27,14,0,18,11,7,21,0.519,0.69
7,22,11,0,18,22,20,0,0.137,0.122
1,1,1,53,18,13,9,4,0.143,0.118
37,16,9,7,18,6,3,4,0.225,0.327
20,18,23,4,18,6,8,3,0.22,0.323
9,36,9,14,18,0,6,8,0.214,0.542
7,0,43,3,18,2,21,6,0.29,0.719
36,14,10,11,18,4,5,2,0.234,0.232
4,31,8,34,18,3,1,1,0.216,0.189
25,9,0,2,17,20,11,16,0.222,0.254
5,12,10,5,17,24,17,10,0.151,0.122
3,1,24,4,17,14,20,17,0.19,0.207
11,3,5,9,17,23,25,7,0.145,0.094
3,3,38,10,17,19,0,10,0.56,0.598
3,3,38,10,17,19,0,10,0.366,0.432
26,10,0,18,17,9,3,17,0.275,0.389
4,19,17,8,17,1,10,24,0.91,0.993
7,30,12,7,17,4,10,13,0.36,0.368
5,7,5,34,17,1,15,16,0.373,0.534
1,19,37,16,17,1,3,6,0.389,0.455
40,0,36,0,17,0,0,7,0.581,0.658
40,0,36,0,17,0,0,7,0.574,0.656
13,15,12,11,16,4,5,24,0.491,0.733
4,19,4,19,16,12,14,12,0.156,0.161
