x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,,PEG,IFN,HSA,,IFN-PEG,HSA-PEG,IFN-predict,control-predict
0,0,0,0,14.0318,0,0,16.37,0,30.345,0,40.2533,,0.071,1.191,1.352,,1.12,1.281,2.374723631,2.452568959
0,0,0,0,5.2139,0,0,3.1763,44.5571,0,9.6151,38.4376,,0.083,1.733,2.185,,1.65,2.102,2.058515956,2.074762395
10.7519,0,0,0,10.8337,0,0,19.0925,0,0,27.3245,32.9974,,0.082,1.44,1.543,,1.358,1.461,1.775036414,2.037708831
0,0,31.4291,12.0461,11.4337,0,0,7.8112,0,0,0,38.28,,0.037,0.892,0.947,,0.855,0.91,2.215242423,2.421052715
0,0,0,4.3096,12.9056,0,0,0,0,28.9881,22.419,32.3778,,0.119,1.648,1.984,,1.529,1.865,2.330732445,2.72392238
0,0,0,5.1727,12.9297,0,0,10.8782,33.6497,0,0,38.3696,,0.032,1.178,1.264,,1.146,1.232,2.632254004,2.72889007
0,0,0,0,8.9744,0,0,0,0,23.3283,35.8132,32.8842,,0.087,2.352,2.693,,2.265,2.606,2.019974869,2.311494366
2.7601,0.2948,7.0262,10.775,10.6707,15.4375,0.6187,10.3537,2.4234,4.0872,0.0615,34.8368,,0.088,1.102,1.001,,1.014,0.913,1.192245071,1.343880313
0,19.9133,0,0,7.7807,0,0,0,23.4141,8.1354,0,41.7564,,0.142,2.75,( + ),,2.608,#VALUE!,2.64529081,2.486346887
0,0,0,7.6507,18.9883,0,0,0,10.796,30.1372,0,33.4278,,0.068,1.466,1.649,,1.398,1.581,1.696323103,2.045173377
0,0,13.9707,10.4169,16.2475,0,0,0,0,27.6288,0,32.7361,,0.066,1.136,1.181,,1.07,1.115,1.840967677,2.156810845
0,27.6175,18.9865,3.603,11.1846,0,0,0,0,0,0,39.6084,,0.092,2.794,( + ),,2.702,#VALUE!,2.576000303,2.576650662
19.0269,0,0,4.7115,8.5408,0,0,0,0,33.6675,0,35.0533,,0.128,2.029,2.517,,1.901,2.389,2.231437982,2.580705086
0,0,0,0,6.8364,0,0,6.609,37.4097,8.4948,0,41.6501,,0.044,1.804,2.314,,1.76,2.27,2.650168767,2.545420041
0,0,0,28.1541,25.7358,0,0,0,0,0,0,47.11,,0.078,1.21,1.052,,1.132,0.974,1.361533502,0.87921481
5.821,0,0,0,4.9814,0,21.5283,0,33.2198,0,0,35.4495,,0.074,1.865,2.771,,1.791,2.697,2.047935123,2.211856706
5.0893,0,0,0,2.7617,0,0,1.423,48.6442,0,7.0995,35.9822,,0.075,1.897,2.59,,1.822,2.515,1.529771069,1.601619531
0,0,0,0,14.9855,0,0,0,0,46.7302,0,39.2843,,0.125,2.746,( + ),,2.621,#VALUE!,2.843339999,3.02598296
0,0,34.1948,6.8648,11.3307,0,0,7.904,0,0,0,40.7057,,0.075,1.238,1.485,,1.163,1.41,2.814637794,2.968532244
0,21.0675,0,4.911,11.2229,0,0,0,0,23.1808,0,40.6178,,0.069,2.218,2.8,,2.149,2.731,2.959220921,3.009615119
0,0,0,0,10.8142,0,0,0,59.3242,0,0,30.8616,,0.112,1.72,2.153,,1.608,2.041,1.732385177,1.826011516
9.2057,0,0,1.2596,8.7244,0,0,0,23.9833,11.9605,15.1825,30.684,,0.041,1.817,2.184,,1.776,2.143,2.180880764,2.556883396
0,0,0,6.0835,14.7682,0,0,0,5.4506,38.3473,0,36.3503,,0.081,1.704,1.874,,1.623,1.793,2.592015234,2.967732648
0,0,0,10.9698,10.799,0,0,0,43.8172,0,0,35.414,,0.063,1.191,1.315,,1.128,1.252,2.021787036,2.095909962
0,0,0,0,6.9077,0,0,14.8576,20.6457,17.4903,0,41.0988,,0.067,1.256,1.591,,1.189,1.524,2.450141812,2.42209072
0,0,0,7.6971,10.5392,0,0,10.9553,0,30.6803,0,41.1281,,0.068,1.1,1.244,,1.032,1.176,2.665264869,2.745782471
0,0,0,10.756,12.1166,0,21.6335,16.0904,0,0,0,40.4036,,0.067,0.874,0.94,,0.807,0.873,1.816331168,1.91201631
17.5348,0,0,0,6.8739,0,0,6.2275,3.306,0,34.1896,32.8681,,0.071,2.332,( + ),,2.261,#VALUE!,2.181118183,2.704851201
0,0,0,7.2945,27.9018,0,0,0,14.8794,0,4.4834,46.441,,0.109,0.397,0.378,,0.288,0.269,2.237355763,2.026510102
0,0,0,2.9457,14.3669,0,0,0,0,15.6939,35.371,32.6226,,0.051,2.237,3.039,,2.186,2.988,2.014182121,2.338328429
0,0,0,0,3.8204,0,0,0,0,51.6092,0,45.5704,,0.095,2.536,3.139,,2.441,3.044,2.392174988,2.471372363
0,0,0,0,6.5008,0,0,0,0,41.3421,18.1167,35.0404,,0.079,2.093,3.042,,2.014,2.963,2.276332229,2.576316512
0,0,0,1.8439,14.8594,0,0,0,0,25.6934,29.1888,29.4145,,0.078,1.785,2.292,,1.707,2.214,1.784682575,2.063746199
0,0,24.4301,16.3458,10.8616,0,0,10.7346,0,0,0,38.6278,,0.057,0.703,0.67,,0.646,0.613,1.546254259,1.60445427
3.2894,0,0,0,12.6688,0,0,0,22.3739,0,30.9967,31.6711,,0.106,2.369,( + ),,2.263,#VALUE!,2.160078339,2.469808509
0,0,0,0,6.4293,0,25.2922,0,5.0122,26.6327,0,37.6336,,0.061,1.757,2.57,,1.696,2.509,2.918808069,3.14332981
