x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,,PEG,IFN,HSA
3.7474,16.2512,1.7213,1.6274,2.4866,13.153,12.251,20.814,3.966,5.3492,12.2781,6.8193,,0.056,0.1,0.081
30.5798,0,0,0,0,0,0,0,0,45.1476,0,25.2727,,0.096,1.904,2.389
6.1104,2.3701,4.8104,2.005,0.3246,2.0418,8.2958,15.6125,13.7017,34.3845,9.9507,0.9369,,0.062,0.247,0.175
12.0631,9.0091,16.7342,31.1293,13.7694,0.6657,0.394,3.5363,5.8132,3.391,2.6855,1.1136,,0.055,0.112,0.085
2.6272,3.9437,12.6444,9.0024,6.7086,20.7271,17.5258,2.2449,3.677,6.1297,5.7393,8.2219,,0.081,0.302,0.333
2.2628,6.0711,10.3442,1.5029,2.7181,2.6723,18.6764,4.8964,13.6803,14.786,4.3623,17.1865,,0.066,0.637,0.59
5.9004,11.107,0.3546,6.1166,1.7791,34.9153,4.671,0.2595,14.2162,4.8381,7.8645,7.7711,,0.056,0.09,0.125
5.5337,3.3846,8.2857,2.9445,1.7583,26.3627,0.1537,5.3919,26.4482,8.1415,2.6135,9.9775,,0.064,0.137,0.168
27.247,0,0,0,0,5.9534,0,0,29.1801,6.7186,2.0728,29.8281,,0.189,2.697,2.705
4.7876,8.7472,0.6752,18.1464,6.2711,1.2601,2.1547,5.1535,30.9773,4.8105,15.0539,1.0733,,0.063,0.212,0.143
19.9604,7.7827,15.3392,12.3664,3.7703,4.527,1.1674,14.7229,7.9849,3.0876,4.7299,4.2604,,0.057,0.135,0.096
4.2372,4.5395,11.7657,3.5049,4.2692,26.0788,2.8461,9.0578,6.3036,7.5841,5.7726,14.9561,,0.077,0.134,0.19
0,0,0,0,20.1652,0,0,35.4334,17.2057,21.4287,6.767,0,,0.059,0.156,0.109
